Country,Cluster,PC1,PC2,GDP,GDP_per_capita,GDP_growth,Population,Inflation,Current_Account,Gov_Debt,Gov_Revenue,Gov_Expenditure,Savings
Ghana,0,-1.3310995503556007,0.2776936259065059,135.908,68721.712,5.0,38.222,8.0,-0.076,47.581,17.1,19.613,17.42
Finland,1,2.2699912657877843,0.011580788777928442,381.547,58712.601,1.189,5.603,2.0,-0.321,94.171,53.301,56.693,24.433
"Marshall Islands, Republic Of The",1,4.213003893913199,-0.3166108908941356,0.408,12370.108,1.605,0.033,2.422,3.44,10.93,80.464,80.442,22.404652173913043
El Salvador,0,-0.11169192849248608,0.23533541627325935,46.246,7081.242,2.8,6.531,1.8,-1.376,79.493,28.144,29.743,21.684
Brazil,1,0.8941755047793053,0.40807123922223987,2814.461,78629.315,2.488,216.499,2.932,-1.749,98.068,40.062,44.687,14.65
"Korea, Republic Of",0,-0.36421433389689584,-1.2723094421513292,2271.152,60948487.739,1.938,51.311,2.0,4.715,64.288,23.536,24.573,34.031
Malawi,0,-0.9286936168457104,2.7030229386403963,31.325,2382363.017,3.387,27.727,14.564,-10.107,78.773,16.485,28.14,-2.175
Somalia,0,-2.164954451621547,0.7560482037879652,18.73,961.776,4.1,19.474,3.0,-10.101,60.21118932038836,5.411,7.403,22.404652173913043
European Union (Eu),1,1.848178387466983,-0.8767990530959152,25781.923,76763671.0876802,1.401,42.835142131979694,2.112,2.61,87.823,45.964,49.542,24.582
"Hong Kong Special Administrative Region, People'S Republic Of China",0,-0.726932279951667,-1.346056149378248,536.95,537918.467,2.311,7.75,2.48,11.531,14.475,21.382,20.846,28.531
Uganda,0,-1.3016335534222352,-0.03918983954393611,106.655,7322024.43,6.101,57.302,5.0,-1.607,54.252,17.18,22.557,22.017
"Tanzania, United Republic Of",0,-1.2729611638770113,-1.3475735159656905,138.582,5071973.764,6.247,77.8,4.001,-2.793,42.861,17.797,20.807,39.579
Emerging And Developing Asia,1,0.006869707504620322,-2.172457033720755,38968.105,76763671.0876802,4.492,42.835142131979694,2.741,1.007,99.295,23.43,30.41,38.24
Samoa,0,0.09903890669049836,0.18242449791422433,1.603,20819.663,1.99,0.218,2.994,-2.069,21.718,30.181,32.29,22.404652173913043
Kyrgyz Republic,0,-0.09929454325550037,0.9787323192739962,28.155,381938.071,5.294,8.006,5.032,-6.156,39.957,32.493,35.18,14.056
Libya,1,2.010377996431891,-0.003478671621565873,57.857,42010.379,2.208,7.338,1.568,0.426,60.21118932038836,53.412,54.552,22.404652173913043
Belgium,1,2.1166243009697023,0.10456970565985184,849.306,60669.891,1.293,12.069,1.884,-0.188,122.627,49.707,56.109,23.513
Slovakia,1,1.1903751124980453,0.40555430627059846,199.114,32089.872,2.06,5.35,1.986,-0.954,75.563,41.01,46.799,19.185
"Micronesia, Federated States Of",1,3.250674081589329,0.3368908086671774,0.584,6173.93,0.662,0.095,2.216,-4.58,2.357,67.674,67.953,22.404652173913043
Pakistan,0,-1.5092891197192777,0.1899704554440754,410.495,737196.617,4.5,264.534,6.494,-1.084,60.228,15.943,18.772,14.916
"Andorra, Principality Of",1,0.7920842557668996,-1.1152331287099857,5.318,45804.337,1.5,0.1,1.7,15.368,28.363,39.748,37.397,22.404652173913043
Liberia,0,-1.1452640188744703,0.8326249643231172,7.276,1142.826,5.543,6.366,5.061,-12.291,47.999,20.123,21.476,22.404652173913043
Maldives,1,0.4542393135084321,0.7996610123567859,10.426,359856.627,4.047,0.446,2.0,-8.356,146.547,31.782,41.033,22.129
"Nauru, Republic Of",1,8.374762111065213,-0.33769019147156365,0.216,26592.421,1.788,0.013,2.459,2.017,6.678,138.653,123.337,22.404652173913043
